Scenario,Region,Sector,Set,Name,Description,Activity unit,Capacity unit,Type,Sub type,Primary commodity group,Time slice level,Vintage
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-Bike--PET,Agriculture -:- Dairy Cattle Farming -:- Off-road Motorbike Use -:- Farm Bike -:- Petrol,PJ,GW,DMD,-,ADCF-MoTP-Mob-Bike--PET_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-Bike--PET,Agriculture -:- Dairy Cattle Farming -:- Off-road Motorbike Use -:- Farm Bike -:- Petrol,PJ,GW,DMD,-,ADCF-MoTP-Mob-Bike--PET_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-MTr--DSL,Agriculture -:- Dairy Cattle Farming -:- Truck Services -:- Truck (Agricultural) -:- Diesel,PJ,GW,DMD,-,ADCF-MoTP-Mob-MTr--DSL_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-MTr--DSL,Agriculture -:- Dairy Cattle Farming -:- Truck Services -:- Truck (Agricultural) -:- Diesel,PJ,GW,DMD,-,ADCF-MoTP-Mob-MTr--DSL_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-MTr--ELC,Agriculture -:- Dairy Cattle Farming -:- Truck Services -:- Truck (Agricultural) -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Mob-MTr--ELC_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-MTr--ELC,Agriculture -:- Dairy Cattle Farming -:- Truck Services -:- Truck (Agricultural) -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Mob-MTr--ELC_DEMO,ANNUAL,0.0
BASE,NI,IND,.PRE.,FTE-INDNGA_00,Industry -:-  -:-  -:-  -:- Natural Gas,PJ,PJA,PRE,-,INDNGA,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-MTr--H2R,Agriculture -:- Dairy Cattle Farming -:- Truck Services -:- Truck (Agricultural) -:- Green Hydrogen,PJ,GW,DMD,-,ADCF-MoTP-Mob-MTr--H2R_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-MTr--H2R,Agriculture -:- Dairy Cattle Farming -:- Truck Services -:- Truck (Agricultural) -:- Green Hydrogen,PJ,GW,DMD,-,ADCF-MoTP-Mob-MTr--H2R_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-Trac--DSL,Agriculture -:- Dairy Cattle Farming -:- Tractor Services -:- Tractor (Agricultural) -:- Diesel,PJ,GW,DMD,-,ADCF-MoTP-Mob-Trac--DSL_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-Trac--DSL,Agriculture -:- Dairy Cattle Farming -:- Tractor Services -:- Tractor (Agricultural) -:- Diesel,PJ,GW,DMD,-,ADCF-MoTP-Mob-Trac--DSL_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-Trac--ELC,Agriculture -:- Dairy Cattle Farming -:- Tractor Services -:- Tractor (Agricultural) -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Mob-Trac--ELC_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-Trac--ELC,Agriculture -:- Dairy Cattle Farming -:- Tractor Services -:- Tractor (Agricultural) -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Mob-Trac--ELC_DEMO,ANNUAL,0.0
BASE,NI,OTH,.PRE.,FTE_AGRPLT,Agriculture -:-  -:-  -:-  -:- Pellet,PJ,PJA,PRE,-,AGRPLT,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-Trac--H2R,Agriculture -:- Dairy Cattle Farming -:- Tractor Services -:- Tractor (Agricultural) -:- Green Hydrogen,PJ,GW,DMD,-,ADCF-MoTP-Mob-Trac--H2R_DEMO,ANNUAL,0.0
