Scenario,Region,Sector,Set,Name,Description,Unit,Type,Sub type,Lim type,Time slice level,Peak time slice
BASE,NI,OTH,.DEM.,C_HLTH-SH,Commercial -:- Healthcare -:-  -:- Space Heating,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_HLTH-WH,Commercial -:- Healthcare -:-  -:- Water Heating,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_OFFC-LT,Commercial -:- Office Blocks -:-  -:- Lighting,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_OFFC-MPM,"Commercial -:- Office Blocks -:-  -:- Motive Power, Mobile",PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_OFFC-MPS,"Commercial -:- Office Blocks -:-  -:- Motive Power, Stationary",PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_OFFC-OTH,Commercial -:- Office Blocks -:-  -:- Electronics and Other Appliances,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_OFFC-SC,Commercial -:- Office Blocks -:-  -:- Space Cooling,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_OFFC-SH,Commercial -:- Office Blocks -:-  -:- Space Heating,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_OFFC-WH,Commercial -:- Office Blocks -:-  -:- Water Heating,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_OTH-LT,Commercial -:- Other (Commercial) -:-  -:- Lighting,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_OTH-MPM,"Commercial -:- Other (Commercial) -:-  -:- Motive Power, Mobile",PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_OTH-MPS,"Commercial -:- Other (Commercial) -:-  -:- Motive Power, Stationary",PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_OTH-OTH,Commercial -:- Other (Commercial) -:-  -:- Electronics and Other Appliances,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-MPM,"Residential -:- Joined Dwellings -:-  -:- Motive Power, Mobile",PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_OTH-SC,Commercial -:- Other (Commercial) -:-  -:- Space Cooling,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_OTH-SH,Commercial -:- Other (Commercial) -:-  -:- Space Heating,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_OTH-WH,Commercial -:- Other (Commercial) -:-  -:- Water Heating,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_WSR-CK,Commercial -:- Warehouses/Supermarkets/Retail -:-  -:- Cooking,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_WSR-LT,Commercial -:- Warehouses/Supermarkets/Retail -:-  -:- Lighting,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_WSR-MPM,"Commercial -:- Warehouses/Supermarkets/Retail -:-  -:- Motive Power, Mobile",PJ,DEM,,,,
