Scenario,Island,Subsector,Fuel Code,Fuel,2015,2016,2018,2021,2025,2030,2035,2040,2045,2050,2055,2060
Kea,NI,MINING,INDBIG,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MINING,INDDSL,Diesel,9.055555556,3.962828283,3.959191919,3.668333333,3.590472222,3.699722222,3.984194444,4.290305556,4.68825,5.122611111,5.598138889,6.116944444
Kea,NI,MINING,INDCOA,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MINING,INDNGA,Natural Gas,0.16091954,0.16045977,0.15954023,0.194712644,0.45636649,0.464328028,0.467932361,0.50736649,0.425278438,0.403307692,0.470490274,0.514114058
Kea,NI,MINING,NGA,Natural Gas Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MINING,INDWOD,Wood,0,0,0,0,0.006,0.012235294,0.046,0.046,0.18240777,0.262235294,0.256,0.279811765
Kea,NI,MINING,INDFOL,Fuel Oil,2.035294118,0.024,0.024941176,0,0,0,0,0,0,0,0,0
Kea,NI,MINING,INDELC,Electricity,1.466666667,1.467259259,1.468444444,1.649925926,1.4875,1.532611111,1.650444444,1.777222222,1.942111111,2.122166667,2.318944444,2.534
Kea,NI,MINING,INDPET,Petrol,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MINING,INDLPG,LPG,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MINING,INDGEO,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,OTHER,COA,Coal Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,OTHER,INDBIG,Biogas,0.04,0.03,0.03,0.0409,0.0421,0.0434,0.0468,0.0504,0.055,0.0601,0.0657,0.0718
Kea,NI,OTHER,INDDSL,Diesel,4.04,4.03,4.03,4.1599,4.286,4.4158,4.7554,5.121,5.5959,6.1148,6.6818,7.3014
Kea,NI,OTHER,INDCOA,Coal,1,1,1,1.033,1.0643,1.0965,1.1808,1.2716,1.3896,1.5184,1.6592,1.813
Kea,NI,OTHER,INDNGA,Natural Gas,1.06,1.05,1.05,1.0873,1.1203,1.1542,1.243,1.3385,1.4627,1.5983,1.7465,1.9085
Kea,NI,OTHER,NGA,Natural Gas Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,OTHER,INDWOD,Wood,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,OTHER,INDFOL,Fuel Oil,0.01,0,0,0.0085,0.0088,0.009,0.0097,0.0105,0.0114,0.0125,0.0137,0.0149
Kea,NI,OTHER,INDELC,Electricity,4.08,4.08,4.08,4.2075,4.335,4.4664,4.8098,5.1796,5.6599,6.1848,6.7582,7.3849
Kea,NI,OTHER,INDPET,Petrol,0.05,0.05,0.05,0.0517,0.0532,0.0548,0.0591,0.0636,0.0695,0.0759,0.083,0.0907
Kea,NI,OTHER,INDLPG,LPG,2.65,2.65,2.65,2.7342,2.8171,2.9024,3.1256,3.3659,3.678,4.0191,4.3918,4.799
Kea,NI,OTHER,INDGEO,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,PULP AND PAPER,COA,Coal Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,PULP AND PAPER,INDBIG,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,PULP AND PAPER,INDDSL,Diesel,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,PULP AND PAPER,INDCOA,Coal,0.1625,0.163708333,0.166125,4.424239893,4.463385607,4.463385607,4.424239893,0.002694197,1.933496603,0.058757143,0.064204286,0.070157143
Kea,NI,PULP AND PAPER,INDNGA,Natural Gas,3.886637931,2.498430651,3.870804598,11.6633204,11.4607979,11.18780696,6.914381813,10.66504044,8.174711619,8.679073956,15.07230362,16.46988563
Kea,NI,PULP AND PAPER,NGA,Natural Gas Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,PULP AND PAPER,INDWOD,Wood,28.70588235,28.70737255,28.71035294,16.06693892,19.34724582,22.96284257,35.18482512,39.07712064,44.44707538,50.46325821,49.42263429,50.82920143
Kea,NI,PULP AND PAPER,INDFOL,Fuel Oil,0.117355294,0,0.109176471,0,0,0,0,0,0,0,0,0
Kea,NI,PULP AND PAPER,INDELC,Electricity,6.154840992,4.048174325,4.048174325,4.405554211,4.677040104,5.069385691,5.459035279,5.878986803,6.424072603,7.311175338,7.98911295,9.501220895
Kea,NI,PULP AND PAPER,INDPET,Petrol,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,PULP AND PAPER,INDLPG,LPG,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,PULP AND PAPER,INDGEO,Geothermal,5.937640961,5.27214253,3.941145668,7.385004391,7.673864372,7.986937752,4.356876028,4.691884749,5.126942535,5.602355987,6.121846279,6.689505671
Kea,NI,REFINERY,COA,Coal Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,REFINERY,INDBIG,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,REFINERY,INDDSL,Diesel,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,REFINERY,INDCOA,Coal,0,0,0,0,0.051141429,0.036728571,0,0,0,0.050858571,0.055572857,0.060728571
Kea,NI,REFINERY,INDNGA,Natural Gas,3.370258621,3.358764368,3.358764368,2.421712644,1.336472457,0.7820125,0.876755,0.94411,1.0317,0.83069,0.90769,0.9919
Kea,NI,REFINERY,NGA,Natural Gas Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,REFINERY,INDWOD,Wood,0,0,0,0,0.409131429,0.475828571,0.512422857,0.551790252,0.602931092,0.658868571,0.637371092,0.696487395
Kea,NI,REFINERY,INDFOL,Fuel Oil,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,REFINERY,INDELC,Electricity,0.933333333,0.918518519,0.918518519,0.666074074,0.418574074,0.300611111,0.323685185,0.348574074,0.380851852,0.668414491,0.750484835,0.820038214
Kea,NI,REFINERY,INDPET,Petrol,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,REFINERY,INDLPG,LPG,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,REFINERY,INDGEO,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,UREA FEEDSTOCK,COA,Coal Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,UREA FEEDSTOCK,INDBIG,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,UREA FEEDSTOCK,INDDSL,Diesel,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,UREA FEEDSTOCK,INDCOA,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,UREA FEEDSTOCK,INDNGA,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,UREA FEEDSTOCK,NGA,Natural Gas Feedstock,3.99,3.99,3.99,2.8674,2.0593,1.4789,1.4789,1.4789,1.4789,1.4789,1.4789,1.4789
Kea,NI,UREA FEEDSTOCK,INDWOD,Wood,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,UREA FEEDSTOCK,INDFOL,Fuel Oil,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,UREA FEEDSTOCK,INDELC,Electricity,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,UREA FEEDSTOCK,INDPET,Petrol,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,UREA FEEDSTOCK,INDLPG,LPG,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,UREA FEEDSTOCK,INDGEO,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,WOOD PROCESSING,COA,Coal Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,WOOD PROCESSING,INDBIG,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,WOOD PROCESSING,INDDSL,Diesel,0.047058824,0,0.048,0,0,0,0,0,0,0,0,0
Kea,NI,WOOD PROCESSING,INDCOA,Coal,0.225,0.226,0.228,4.588959887,4.600004173,4.600004173,4.588959887,4.575352261,1.985719411,0.016577143,0.018115714,0.019791429
Kea,NI,WOOD PROCESSING,INDNGA,Natural Gas,0.815229885,0.490162835,0.807787356,4.340261494,4.278162744,4.238733815,2.474125246,4.039617488,5.52428594,5.960737011,6.513476207,7.117397931
Kea,NI,WOOD PROCESSING,NGA,Natural Gas Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
