Scenario,Region,Sector,Set,Name,Description,Activity unit,Capacity unit,Type,Sub type,Primary commodity group,Time slice level,Vintage
NewTech_ELC_KEA,SI,ELC,.ELE.,EBIG20,Electricity -:- Biogas -:- Biogas 2018 -:- Biogas,PJ,GW,ELE,-,EBIG20_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,SI,ELC,.ELE.,EBIL20,Electricity -:- Bioliquid -:- Bioliquid Power 2018 -:- Bioliquid,PJ,GW,ELE,-,EBIL20_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,SI,ELC,.ELE.,EBIL20,Electricity -:- Bioliquid -:- Bioliquid Power 2018 -:- Bioliquid,PJ,GW,ELE,-,EBIL20_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,SI,ELC,.ELE.,EGEOBIN20,Electricity -:- Geothermal -:- Geothermal (Other) -:- Geothermal,PJ,GW,ELE,-,EGEOBIN20_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,SI,ELC,.ELE.,EGEOBIN20,Electricity -:- Geothermal -:- Geothermal (Other) -:- Geothermal,PJ,GW,ELE,-,EGEOBIN20_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,SI,ELC,.ELE.,EGEOCONSBIN20,Electricity -:- Geothermal -:- Geothermal (Consented) -:- Geothermal,PJ,GW,ELE,-,EGEOCONSBIN20_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,SI,ELC,.ELE.,EGEOCONSBIN20,Electricity -:- Geothermal -:- Geothermal (Consented) -:- Geothermal,PJ,GW,ELE,-,EGEOCONSBIN20_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,SI,ELC,.ELE.,EGEOCONSFLSH20,Electricity -:- Geothermal -:- Geothermal (Consented) -:- Geothermal,PJ,GW,ELE,-,EGEOCONSFLSH20_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,SI,ELC,.ELE.,EGEOCONSFLSH20,Electricity -:- Geothermal -:- Geothermal (Consented) -:- Geothermal,PJ,GW,ELE,-,EGEOCONSFLSH20_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,SI,ELC,.ELE.,EGEOFLSH20,Electricity -:- Geothermal -:- Geothermal (Other) -:- Geothermal,PJ,GW,ELE,-,EGEOFLSH20_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,SI,ELC,.ELE.,EGEOFLSH20,Electricity -:- Geothermal -:- Geothermal (Other) -:- Geothermal,PJ,GW,ELE,-,EGEOFLSH20_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,SI,ELC,.ELE.,EHCOL_CCS30,-:-  -:-  -:-,PJ,GW,ELE,-,EHCOL_CCS30_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,SI,ELC,.ELE.,EHCOL_CCS30,-:-  -:-  -:-,PJ,GW,ELE,-,EHCOL_CCS30_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,SI,ELC,.ELE.,EHCOL_SCPC20,Electricity -:- Thermal -:- Lignite: SCPC - 2018 -:- Lignite,PJ,GW,ELE,-,EHCOL_SCPC20_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,SI,ELC,.ELE.,EHCOL_SCPC20,Electricity -:- Thermal -:- Lignite: SCPC - 2018 -:- Lignite,PJ,GW,ELE,-,EHCOL_SCPC20_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,SI,ELC,.ELE.,EHCO_CCS30,-:-  -:-  -:-,PJ,GW,ELE,-,EHCO_CCS30_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,SI,ELC,.ELE.,EHCO_CCS30,-:-  -:-  -:-,PJ,GW,ELE,-,EHCO_CCS30_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,SI,ELC,.ELE.,EHCO_SCPC20,Electricity -:- Thermal -:- Coal: SCPC - 2018 -:- Coal,PJ,GW,ELE,-,EHCO_SCPC20_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,SI,ELC,.ELE.,EHCO_SCPC20,Electricity -:- Thermal -:- Coal: SCPC - 2018 -:- Coal,PJ,GW,ELE,-,EHCO_SCPC20_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,SI,ELC,.ELE.,EHYD-DAM-New20,Electricity -:- Hydro -:- Hydro Dam (New) -:- Hydro,PJ,GW,ELE,-,EHYD-DAM-New20_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,SI,ELC,.ELE.,EHYD-DAM-New20,Electricity -:- Hydro -:- Hydro Dam (New) -:- Hydro,PJ,GW,ELE,-,EHYD-DAM-New20_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,SI,ELC,.ELE.,EHYD-RR-NSmall20,Electricity -:- Hydro -:- Hydro Run of River (New <30MW) -:- Hydro,PJ,GW,ELE,-,EHYD-RR-NSmall20_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,SI,ELC,.ELE.,EHYD-RR-NSmall20,Electricity -:- Hydro -:- Hydro Run of River (New <30MW) -:- Hydro,PJ,GW,ELE,-,EHYD-RR-NSmall20_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,SI,ELC,.ELE.,EHYD-RR-New20,Electricity -:- Hydro -:- Hydro Run of River (New >30MW) -:- Hydro,PJ,GW,ELE,-,EHYD-RR-New20_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,SI,ELC,.ELE.,EHYD-RR-New20,Electricity -:- Hydro -:- Hydro Run of River (New >30MW) -:- Hydro,PJ,GW,ELE,-,EHYD-RR-New20_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,SI,ELC,.ELE.,ENGA_CCS30,-:-  -:-  -:-,PJ,GW,ELE,-,ENGA_CCS30_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,SI,ELC,.ELE.,ENGA_CCS30,-:-  -:-  -:-,PJ,GW,ELE,-,ENGA_CCS30_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,SI,ELC,.ELE.,ENGA_GTCC20,Electricity -:- Thermal -:- Combined Cycle Gas Turbine (New) -:- Natural Gas,PJ,GW,ELE,-,ENGA_GTCC20_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,SI,ELC,.ELE.,ENGA_GTCC20,Electricity -:- Thermal -:- Combined Cycle Gas Turbine (New) -:- Natural Gas,PJ,GW,ELE,-,ENGA_GTCC20_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,SI,ELC,.ELE.,ENGA_GTCCF20,Electricity -:- Thermal -:- Open Cycle Gas Turbine (New) -:- Natural Gas,PJ,GW,ELE,-,ENGA_GTCCF20_NRGO,DAYNITE,1.0
