Scenario,Region,Sector,Set,Name,Description,Unit,Type,Sub type,Lim type,Time slice level,Peak time slice
BASE,SI,IND,.DEM.,CNST-MoTP-Mob,"-:- Motive Power, Mobile",PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,CNST-MoTP-Stat,"-:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,DARY-AIR,-:- Compressed Air,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,DARY-MoTP-Stat,"-:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,DARY-PH-MVR_DRY,-:- Process Heat Evaporation/Drying,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,DARY-PH-MVR_Fan,-:- Process Heat MVR Fan,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,DARY-PH-MVR_PRE,-:- Process Heat Evaporation/Drying,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,DARY-PH-MVR_TVR,-:- Process Heat Evaporation/Drying,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,DARY-PH-STM_HW,-:- Process Heat Steam/Hot Water,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,DARY-PH-TVR_DRY,-:- Process Heat Evaporation/Drying,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,DARY-PH-TVR_EVP,-:- Process Heat Evaporation/Drying,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,DARY-Pump,-:- Pumping,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,DARY-RFGR,-:- Refrigeration,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,FOOD-MoTP-Stat,"-:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,FOOD-PH-DirH,-:- Process Heat Direct,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,FOOD-PH-OVN,-:- Process Heat Oven,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,FOOD-PH-STM_HW,-:- Process Heat Steam/Hot Water,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,FOOD-Pump,-:- Pumping,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,FOOD-RFGR,-:- Refrigeration,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,IIS-FDSTCK,-:- Feedstock,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,IIS-MoTP-Stat,"-:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,IIS-PH-FURN,-:- Process Heat Furnace,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.NRG.,INDBIG,Biogas -:-,PJ,NRG,,FX,,
BASE,SI,IND,.NRG.,INDCOA,Coal -:-,PJ,NRG,,FX,,
BASE,SI,IND,.NRG.,INDDSL,Diesel -:-,PJ,NRG,,FX,,
BASE,SI,IND,.NRG.,INDFOL,Fuel Oil -:-,PJ,NRG,,FX,,
BASE,SI,IND,.NRG.,INDGEO,Geothermal -:-,PJ,NRG,,FX,,
BASE,SI,IND,.NRG.,INDLPG,LPG -:-,PJ,NRG,,FX,,
BASE,SI,IND,.NRG.,INDNGA,Natural Gas -:-,PJ,NRG,,FX,,
BASE,SI,IND,.NRG.,INDPET,Petrol -:-,PJ,NRG,,FX,,
BASE,SI,IND,.NRG.,INDWOD,Wood -:-,PJ,NRG,,FX,,
BASE,SI,IND,.DEM.,MEAT-MoTP-Stat,"-:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,MEAT-PH-DirH,-:- Process Heat Direct,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,MEAT-PH-STM_HW,-:- Process Heat Steam/Hot Water,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,MEAT-RFGR,-:- Refrigeration,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,METAL-MoTP-Stat,"-:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,METAL-PH-DirH,-:- Process Heat Direct,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,METAL-PH-FURN,-:- Process Heat Furnace,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,METAL-RFGR,-:- Refrigeration,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,MNNG-MoTP-Mob,"-:- Motive Power, Mobile",PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,MNNG-MoTP-Stat,"-:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,MNNG-PH-STM_HW,-:- Process Heat Steam/Hot Water,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,MNRL-MoTP-Stat,"-:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,MNRL-PH-FURN,-:- Process Heat Furnace,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,MNRL-PH-STM_HW,-:- Process Heat Steam/Hot Water,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,MTHOL-FDSTCK,-:- Feedstock,PJ,DEM,,,DAYNITE,
BASE,SI,OTH,.NRG.,COMPET,Petrol -:-,PJ,NRG,,FX,,
BASE,SI,IND,.DEM.,MTHOL-PH_REFRM,-:- Process Heat Reformer,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,OTH-BGS,-:- Other,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,OTH-COA,-:- Other,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,OTH-DSL,-:- Other,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,OTH-ELC,-:- Other,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,OTH-FOL,-:- Other,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,OTH-LPG,-:- Other,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,OTH-NGA,-:- Other,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,OTH-PET,-:- Other,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,PLPPPR-AIR,-:- Compressed Air,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,PLPPPR-Fan,-:- Fan,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,PLPPPR-MoTP-Stat,"-:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
