Scenario,Region,Sector,Process,Name,Description,Member
BASE,NI,IND,IIS-PH-FURN-ELC-Furn15,IIS-PH-FURN-ELC-Furn15_DEMO,-,IIS-PH-FURN
BASE,NI,IND,IIS-PH-FURN-ELC-Furn15,IIS-PH-FURN-ELC-Furn15_NRGI,-,INDELC
BASE,NI,IND,IIS-PH-FURN-NGA-Furn15,IIS-PH-FURN-NGA-Furn15_DEMO,-,IIS-PH-FURN
BASE,NI,IND,IIS-PH-FURN-NGA-Furn15,IIS-PH-FURN-NGA-Furn15_NRGI,-,INDNGA
BASE,NI,IND,MEAT-MoTP-Stat-ELC-Mtr15,MEAT-MoTP-Stat-ELC-Mtr15_DEMO,-,MEAT-MoTP-Stat
BASE,NI,IND,MEAT-MoTP-Stat-ELC-Mtr15,MEAT-MoTP-Stat-ELC-Mtr15_NRGI,-,INDELC
BASE,NI,IND,MEAT-PH-DirH-ELC-Heater15,MEAT-PH-DirH-ELC-Heater15_DEMO,-,MEAT-PH-DirH
BASE,NI,IND,MEAT-PH-DirH-ELC-Heater15,MEAT-PH-DirH-ELC-Heater15_NRGI,-,INDELC
BASE,NI,IND,MEAT-PH-STM_HW-COA-BLR15,MEAT-PH-STM_HW-COA-BLR15_DEMO,-,MEAT-PH-STM_HW
BASE,NI,IND,MEAT-PH-STM_HW-COA-BLR15,MEAT-PH-STM_HW-COA-BLR15_NRGI,-,INDCOA
BASE,NI,IND,MEAT-PH-STM_HW-NGA-BLR15,MEAT-PH-STM_HW-NGA-BLR15_DEMO,-,MEAT-PH-STM_HW
BASE,NI,IND,MEAT-PH-STM_HW-NGA-BLR15,MEAT-PH-STM_HW-NGA-BLR15_NRGI,-,INDNGA
BASE,NI,IND,MEAT-PH-STM_HW-WOD-BLR15,MEAT-PH-STM_HW-WOD-BLR15_DEMO,-,MEAT-PH-STM_HW
BASE,NI,IND,MEAT-PH-STM_HW-WOD-BLR15,MEAT-PH-STM_HW-WOD-BLR15_NRGI,-,INDWOD
BASE,NI,IND,MEAT-RFGR-ELC-Refriger15,MEAT-RFGR-ELC-Refriger15_DEMO,-,MEAT-RFGR
BASE,NI,IND,MEAT-RFGR-ELC-Refriger15,MEAT-RFGR-ELC-Refriger15_NRGI,-,INDELC
BASE,NI,IND,METAL-MoTP-Stat-ELC-Mtr15,METAL-MoTP-Stat-ELC-Mtr15_DEMO,-,METAL-MoTP-Stat
BASE,NI,IND,METAL-MoTP-Stat-ELC-Mtr15,METAL-MoTP-Stat-ELC-Mtr15_NRGI,-,INDELC
BASE,NI,IND,METAL-PH-DirH-NGA-Burner15,METAL-PH-DirH-NGA-Burner15_DEMO,-,METAL-PH-DirH
BASE,NI,IND,METAL-PH-DirH-NGA-Burner15,METAL-PH-DirH-NGA-Burner15_NRGI,-,INDNGA
BASE,NI,IND,METAL-PH-FURN-ELC-Furn15,METAL-PH-FURN-ELC-Furn15_DEMO,-,METAL-PH-FURN
BASE,NI,IND,METAL-PH-FURN-ELC-Furn15,METAL-PH-FURN-ELC-Furn15_NRGI,-,INDELC
BASE,NI,IND,METAL-PH-FURN-FOL-Furn15,METAL-PH-FURN-FOL-Furn15_DEMO,-,METAL-PH-FURN
BASE,NI,IND,METAL-PH-FURN-FOL-Furn15,METAL-PH-FURN-FOL-Furn15_NRGI,-,INDFOL
BASE,NI,IND,METAL-PH-FURN-NGA-Furn15,METAL-PH-FURN-NGA-Furn15_DEMO,-,METAL-PH-FURN
BASE,NI,IND,METAL-PH-FURN-NGA-Furn15,METAL-PH-FURN-NGA-Furn15_NRGI,-,INDNGA
BASE,NI,IND,METAL-RFGR-ELC-Refriger15,METAL-RFGR-ELC-Refriger15_DEMO,-,METAL-RFGR
BASE,NI,IND,METAL-RFGR-ELC-Refriger15,METAL-RFGR-ELC-Refriger15_NRGI,-,INDELC
BASE,NI,IND,MNNG-MoTP-Mob-DSL-ICE_Off15,MNNG-MoTP-Mob-DSL-ICE_Off15_DEMO,-,MNNG-MoTP-Mob
BASE,NI,IND,MNNG-MoTP-Mob-DSL-ICE_Off15,MNNG-MoTP-Mob-DSL-ICE_Off15_NRGI,-,INDDSL
BASE,NI,IND,MNNG-MoTP-Stat-DSL-St_ngn15,MNNG-MoTP-Stat-DSL-St_ngn15_DEMO,-,MNNG-MoTP-Stat
BASE,NI,IND,MNNG-MoTP-Stat-DSL-St_ngn15,MNNG-MoTP-Stat-DSL-St_ngn15_NRGI,-,INDDSL
BASE,NI,IND,MNNG-MoTP-Stat-ELC-Mtr15,MNNG-MoTP-Stat-ELC-Mtr15_DEMO,-,MNNG-MoTP-Stat
BASE,NI,IND,MNNG-MoTP-Stat-ELC-Mtr15,MNNG-MoTP-Stat-ELC-Mtr15_NRGI,-,INDELC
BASE,NI,IND,MNNG-PH-STM_HW-FOL-BLR15,MNNG-PH-STM_HW-FOL-BLR15_DEMO,-,MNNG-PH-STM_HW
BASE,NI,IND,MNNG-PH-STM_HW-FOL-BLR15,MNNG-PH-STM_HW-FOL-BLR15_NRGI,-,INDFOL
BASE,NI,IND,MNNG-PH-STM_HW-NGA-BLR15,MNNG-PH-STM_HW-NGA-BLR15_DEMO,-,MNNG-PH-STM_HW
BASE,NI,IND,MNNG-PH-STM_HW-NGA-BLR15,MNNG-PH-STM_HW-NGA-BLR15_NRGI,-,INDNGA
BASE,NI,IND,MNRL-MoTP-Stat-ELC-Mtr15,MNRL-MoTP-Stat-ELC-Mtr15_DEMO,-,MNRL-MoTP-Stat
BASE,NI,IND,MNRL-MoTP-Stat-ELC-Mtr15,MNRL-MoTP-Stat-ELC-Mtr15_NRGI,-,INDELC
BASE,NI,IND,MNRL-PH-FURN-COA-Furn15,MNRL-PH-FURN-COA-Furn15_DEMO,-,MNRL-PH-FURN
BASE,NI,IND,MNRL-PH-FURN-COA-Furn15,MNRL-PH-FURN-COA-Furn15_NRGI,-,INDCOA
BASE,NI,IND,MNRL-PH-FURN-ELC-Furn15,MNRL-PH-FURN-ELC-Furn15_DEMO,-,MNRL-PH-FURN
BASE,NI,IND,MNRL-PH-FURN-ELC-Furn15,MNRL-PH-FURN-ELC-Furn15_NRGI,-,INDELC
BASE,NI,IND,MNRL-PH-FURN-NGA-Furn15,MNRL-PH-FURN-NGA-Furn15_DEMO,-,MNRL-PH-FURN
BASE,NI,IND,MNRL-PH-FURN-NGA-Furn15,MNRL-PH-FURN-NGA-Furn15_NRGI,-,INDNGA
BASE,NI,IND,MNRL-PH-FURN-WOD-Furn15,MNRL-PH-FURN-WOD-Furn15_DEMO,-,MNRL-PH-FURN
BASE,NI,IND,MNRL-PH-FURN-WOD-Furn15,MNRL-PH-FURN-WOD-Furn15_NRGI,-,INDWOD
BASE,NI,IND,MNRL-PH-STM_HW-NGA-BLR15,MNRL-PH-STM_HW-NGA-BLR15_DEMO,-,MNRL-PH-STM_HW
BASE,NI,IND,MNRL-PH-STM_HW-NGA-BLR15,MNRL-PH-STM_HW-NGA-BLR15_NRGI,-,INDNGA
BASE,NI,IND,MTHOL-FDSTCK-NGA-FDSTCK15,MTHOL-FDSTCK-NGA-FDSTCK15_DEMO,-,MTHOL-FDSTCK
BASE,NI,IND,MTHOL-FDSTCK-NGA-FDSTCK15,MTHOL-FDSTCK-NGA-FDSTCK15_NRGI,-,NGA
BASE,NI,IND,MTHOL-PH_REFRM-NGA-REFRM15,MTHOL-PH_REFRM-NGA-REFRM15_DEMO,-,MTHOL-PH_REFRM
BASE,NI,IND,MTHOL-PH_REFRM-NGA-REFRM15,MTHOL-PH_REFRM-NGA-REFRM15_NRGI,-,INDNGA
BASE,NI,IND,OTH-BGS-BGS-Tech15,OTH-BGS-BGS-Tech15_DEMO,-,OTH-BGS
BASE,NI,IND,OTH-BGS-BGS-Tech15,OTH-BGS-BGS-Tech15_NRGI,-,INDBIG
BASE,NI,IND,OTH-COA-COA-Tech15,OTH-COA-COA-Tech15_DEMO,-,OTH-COA
BASE,NI,IND,OTH-COA-COA-Tech15,OTH-COA-COA-Tech15_NRGI,-,INDCOA
BASE,NI,IND,OTH-DSL-DSL-Tech15,OTH-DSL-DSL-Tech15_DEMO,-,OTH-DSL
BASE,NI,IND,OTH-DSL-DSL-Tech15,OTH-DSL-DSL-Tech15_NRGI,-,INDDSL
BASE,NI,IND,OTH-ELC-ELC-Tech15,OTH-ELC-ELC-Tech15_DEMO,-,OTH-ELC
BASE,NI,IND,OTH-ELC-ELC-Tech15,OTH-ELC-ELC-Tech15_NRGI,-,INDELC
BASE,NI,IND,OTH-FOL-FOL-Tech15,OTH-FOL-FOL-Tech15_DEMO,-,OTH-FOL
BASE,NI,IND,OTH-FOL-FOL-Tech15,OTH-FOL-FOL-Tech15_NRGI,-,INDFOL
BASE,NI,IND,OTH-LPG-LPG-Tech15,OTH-LPG-LPG-Tech15_DEMO,-,OTH-LPG
BASE,NI,IND,OTH-LPG-LPG-Tech15,OTH-LPG-LPG-Tech15_NRGI,-,INDLPG
BASE,NI,IND,OTH-NGA-NGA-Tech15,OTH-NGA-NGA-Tech15_DEMO,-,OTH-NGA
BASE,NI,IND,OTH-NGA-NGA-Tech15,OTH-NGA-NGA-Tech15_NRGI,-,INDNGA
BASE,NI,IND,OTH-PET-PET-Tech15,OTH-PET-PET-Tech15_DEMO,-,OTH-PET
BASE,NI,IND,OTH-PET-PET-Tech15,OTH-PET-PET-Tech15_NRGI,-,INDPET
BASE,NI,IND,PLPPPR-AIR-ELC-CMPR15,PLPPPR-AIR-ELC-CMPR15_DEMO,-,PLPPPR-AIR
BASE,NI,IND,PLPPPR-AIR-ELC-CMPR15,PLPPPR-AIR-ELC-CMPR15_NRGI,-,INDELC
BASE,NI,IND,PLPPPR-Fan-ELC-Fan15,PLPPPR-Fan-ELC-Fan15_DEMO,-,PLPPPR-Fan
BASE,NI,IND,PLPPPR-Fan-ELC-Fan15,PLPPPR-Fan-ELC-Fan15_NRGI,-,INDELC
BASE,NI,IND,PLPPPR-MoTP-Stat-ELC-Mtr15,PLPPPR-MoTP-Stat-ELC-Mtr15_DEMO,-,PLPPPR-MoTP-Stat
BASE,NI,IND,PLPPPR-MoTP-Stat-ELC-Mtr15,PLPPPR-MoTP-Stat-ELC-Mtr15_NRGI,-,INDELC
BASE,NI,IND,PLPPPR-PH-DirH-NGA-Burner15,PLPPPR-PH-DirH-NGA-Burner15_DEMO,-,PLPPPR-PH-DirH
BASE,NI,IND,PLPPPR-PH-DirH-NGA-Burner15,PLPPPR-PH-DirH-NGA-Burner15_NRGI,-,INDNGA
BASE,NI,IND,PLPPPR-PH-FURN-NGA-Furn15,PLPPPR-PH-FURN-NGA-Furn15_DEMO,-,PLPPPR-PH-FURN
BASE,NI,IND,PLPPPR-PH-FURN-NGA-Furn15,PLPPPR-PH-FURN-NGA-Furn15_NRGI,-,INDNGA
BASE,NI,IND,PLPPPR-PH-STM_HW-COA-BLR15,PLPPPR-PH-STM_HW-COA-BLR15_DEMO,-,PLPPPR-PH-STM_HW
BASE,NI,IND,PLPPPR-PH-STM_HW-COA-BLR15,PLPPPR-PH-STM_HW-COA-BLR15_NRGI,-,INDCOA
BASE,NI,IND,PLPPPR-PH-STM_HW-FOL-BLR15,PLPPPR-PH-STM_HW-FOL-BLR15_DEMO,-,PLPPPR-PH-STM_HW
BASE,NI,IND,PLPPPR-PH-STM_HW-FOL-BLR15,PLPPPR-PH-STM_HW-FOL-BLR15_NRGI,-,INDFOL
BASE,NI,IND,PLPPPR-PH-STM_HW-GEO-Heat15,PLPPPR-PH-STM_HW-GEO-Heat15_DEMO,-,PLPPPR-PH-STM_HW
